CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
book	abdullaev1950	Абдуллаев, Сайгид Н.	Русско-даргинский словарь	1950	Russian-Dargwa dictionary	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala				Сулейманов Хизри Ш.								Polina Smyr	30.08.2021	NOT IN THE FOLDER	
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala															
book	abdullaevaetal2014	Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.	Современный кумыкский язык	2014	Contemporary Kumyk	ИЯЛИ	Makhachkala															
misc	abdulmutalibov2005	Абдулмуталибов, Нариман Ш.	Русско-лезгинский разговорник	2005	Russian-Lezgian phrasebook		Makhachkala										Accessed: 2021-12-17	http://cathedra.dgu.ru/Content/files/%D0%A4%D0%B8%D0%BB%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%84%D0%B0%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D0%B5%D1%82/%D0%9D_%D0%A8_%20%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BC%D1%83%D1%82%D0%B0%D0%BB%D0%B8%D0%B1%D0%BE%D0%B2%20%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE-%D0%BB%D0%B5%D0%B7%D0%B3%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D1%80%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA.pdf	Chiara Naccarato	17.12.2021		
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek											
incollection	alekseev1994budukh	Alekseev, Mikhail E.	Budukh	1994		Caravan Books	Delmar NY	259--296	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek								Polina Nasledskova	05.05.2022		
incollection	alekseev1998	Алексеев, Михаил Е.	Андийский язык	1998	Andi	Academia	Moscow	221--228	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.								Chiara Naccarato	18.08.2021		
book	alekseevataev1997	Алексеев, Михаил Е. and Атаев, Борис М.	Аварский язык	1997	Avar language	Академия	Moscow												George Moroz	28.04.2021		
book	alekseevetal1998		Языки мира. Кавказские языки	1998	Languages of the world. Caucasian languages	Academia	Moscow				Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г. 								Chiara Naccarato	18.08.2021		
book	alekseevetal2008		Удинский сборник: Грамматика. Лексика. История языка	2008	Udi. Grammar. Lexicon. History of the language	Академия	Moscow				Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.											
book	alekseevetal2012	Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович	Современный аварский язык	2012	Contemporary Avar language	Aleph	Makhachkala												Samira Verhees			
book	alekseevshixalieva2003	Алексеев, Михаил Е. and Шихалиева, Сабрина Х.	Табасаранский язык	2003	Tabasaran	Академия	Moscow															
incollection	alekseyev2016	Alekseyev, Mikhail	Botlikh	2016		De Gruyter Mouton	Berlin/Boston	3678--3685	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz								Chiara Naccarato	05.02.2021	NOT IN THE FOLDER	
incollection	alekseyev2016rutul	Alekseyev, Mikhail	Rutul	2016		De Gruyter Mouton	Berlin/Boston	3536--3545	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz										corrected spelling of surname + bibtexkey	
misc	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh			De Gruyter Mouton	Berlin/New York		The Caucasian languages. An International Handbook. Volume 1. Nakh-Daghestanian languages: Nakh, Avar-Andic and Tsezic		Koryakov, Yuri B. and Maisak, Timur A. and Kaye, Steven											
book	aliroev1999	Алироев, Ибрагим Ю.	Чеченский язык	1999	The Chechen language	Academia	Moscow												Polina Nasledskova	05.05.2022		
phdthesis	alisultanova2009	Алисултанова, Меседу А.	Лексика андийского языка	2009			Makhachkala									Дагестанский научный центр Российской академии наук  Институт языка, литературы и искусства им. Гамзата Цадасы			Sara Zadykyan		SV: Moved to dictionaries. 	
book	alisultanovsulejmanova2019	Алисултанов, Алисултан С. and Сулейманова, Таисия А.	Рутульско-русский словарь	2019	Rutul-Russian dictionary	АЛЕФ	Makhachkala														there are two versions in  the folder: pdf and xlsx parsed by GM	
book	authier2009	Authier, Gilles	Grammaire kryz	2019		Peeters	Paris												Chiara Naccarato	17.12.2021		
article	authier2010	Authier, Gilles	Azeri morphology in Kryz (East Caucasian)	2010				14--42					Turkic Languages	14					Samira Verhees			
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012		Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden												Chiara Naccarato			
misc	authierdraft2020	Authier, Gilles	Tindi	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur								Samira Verhees			
incollection	authierhaciyev2016	Authier, Gilles and Haciyev, Adigözel	Budugh	2016		De Gruyter Mouton	Berlin/Boston	3546--3563	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz											
misc	aytemirova2007	Айтемирова, Айшат Х.	Функционально-семантическая характеристика послелогов аварского языка и предлогов немецкого языка	2007	Functional-semantic characterization of Avar postpositions and  German prepositions	ИЯЛИ	Makhachkala										Автореферат диссертации на соискание учёной степени кандидата филологических наук		Polina Nasledskova	05.05.2022		
phdthesis	azaev1974	Азаев, Халил Г.	Лексика и словообразование ботлихского языка	1974	Lexicon and word formation in Botlikh		Makhachkala									Дагестанский филиал АН СССР, Институт истории языка и литературы им. Г. Цадасы			Chiara Naccarato	05.02.2021		
incollection	azaev2000	Азаев, Халил Г.	Ботлихский язык	2000	Botlikh	Восток	Moscow/Makhachkala	346--359	Языки Дагестана	Languages of Daghestan	Гамзатов, Гаджи Г.								Chiara Naccarato	05.02.2021		
phdthesis	babaliyeva2013	Babaliyeva, Ayten	Études sur la morphosyntaxe du Tabasaran Littéraire	2013	Studies on the morphosyntax of Standard Tabasaran											École Pratique des Hautes Études			Chiara Naccarato	05.11.2021		
book	bammatov2013	Бамматов, Бурган Г. and Гаджиахмедов, Нурмагомед Э.	Кумыкско-русский словарь	2013	Kumyk-Russian dictionary	ИЯЛИ	Makhachkala											https://til.im/ru/slovar 	Samira Verhees	04.05.2022	the file is a preprint version, probably with "wrong" pages	author names edited, comments and URL added by Timur Maisak
book	baskakov1940	Баскаков, Николай А.	Ногайский язык и его диалекты: грамматика, тексты и словарь	1940	Nogai and its dialects: grammar, texts and dictionary	Издательство Академии наук СССР	Moscow															
book	baskakov1963	Баскаков, Николай А.	Ногайско-русский словарь	1963	Nogai-Russian dictionary	Государственное издательство иностранных и национальных словарей	Moscow												Samira Verhees	04.05.2022		
incollection	baskakov1996	Баскаков, Николай А.	Ногайский язык	1996	Nogai language	Институт языкознания РАН	Moscow	328--335	Языки мира. Тюркские языки	Languages of the world. Turkic languages	Рогова, Наталья В. and Романова, Ольга И. and Черкасова, И. М.								Polina Nasledskova		NOT IN THE FOLDER	editor name
incollection	belyaev2018	Belyaev, Oleg	Aorist, Resultative and Perfect in Shiri Dargwa and beyond	2018		Brill	Leiden	80--119	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur								Samira Verhees			
incollection	boeder2000	Boeder, Winfried	Evidentiality in Georgian	2000		Mouton de Gruyter	Berlin/New York	275--328	Evidentials. Turkic, Iranian and neighbouring languages		Johanson, Lars and Utas, Bo								Samira Verhees	30.03.2021		
book	bokarev1949a	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	Grammar sketch of Chamalal	Издательство Академии наук СССР	Moscow/Leningrad															
book	bokarev1949b	Бокарёв, Анатолий А.	Синтаксис аварского языка	1949	Syntax of Avar	Издательство Академии наук СССР	Moscow															
book	bokarev1959	Бокарёв, Евгений А.	Цезские (дидойские) языки Дагестана	1959	Tsezic (Didoic) languages of Daghestan	Академия	Moscow														NOT IN THE FOLDER	
book	bokarev1959tsez	Бокарёв, Евгений А.	Цезский язык	1959	Tsez	Академия	Moscow	175--221	Цезские (дидойские) языки Дагестана	Tsezic (Didoic) languages of Daghestan	Бокарёв, Евгений А.								Chiara Naccarato	06.02.2021		
book	cercvadze1965	Cercvadze, Ilia I.	Andiuri ena 	1965	The Andi language	Mecniereba	Tbilisi															
incollection	chechuro2019	Chechuro, Ilya	Nominal morphology of Mehweb	2019		Language Science Press	Berlin	39--72	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry											
incollection	chumakina2016	Chumakina, Marina	Archi	2016		De Gruyter Mouton	Berlin/Boston	3595--3604	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz										NOT IN THE FOLDER	
incollection	chumakina2018	Chumakina, Marina	Mood in Archi: Realization and semantics	2018		Brill	Leiden	215--246	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur								Chiara Naccarato	17.12.2021		
incollection	chumakinacorbett2008	Chumakina, Marina and Corbett, Greville G.	Archi: the challenge of an extreme agreement system	2008		Языки славянских культур	Moscow	184--194	Фонетика и нефонетика. К 70-летию Сандро В. Кодзасова		Архипов, Александр В. and Федорова, Ольга В.								Chiara Naccarato	02.02.2021		
misc	chumakinaetal2007	Chumakina, Marina and Brown, Dunstan and Corbett, Greville G. and Quilliam, Harley	A dictionary of Archi: Archi-Russian-English (Online edition)	2007		University of Surrey												http://www.smg.surrey.ac.uk/archi-dictionary 	Anastasia Panova	30.08.2021	retrieved from http://dx.doi.org/10.15126/SMG.16/2	URL added by Timur Maisak
incollection	comrie2007	Comrie, Bernard	Tsez (Dido) Morphology	2007		Eisenbrauns	University Park, PA	1193--1204	Morphologies of Asia and Africa		Kaye, Alan S.								Polina Smyr	19.08.2021		
book	comrieetal2015	Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira	A grammar of Bezhta	2015		Max Planck Institute for Evolutionary Anthropology	Leipzig												Timofey Mukhin	29.01.2021	проблемный случай, книга на самом деле на русском, но первое название английское. + надо проверить где опубликовали	
incollection	comriepolinsky2007	Comrie, Bernard and Polinsky, Maria	Evidentials in Tsez	2007		Peeters	Louvain/Paris/Dudley MA	335--350	L'Énonciation médiatisée II		Guentchéva, Zlatka and Landabaru, John								Samira Verhees			
incollection	comriepolinskydraft2020	Comrie, Bernard and Polinsky, Maria	Tsez	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur								Anastasia Panova	30.08.2021	NOT IN THE FOLDER	
misc	creissels2008	Creissels, Denis	Optative in Akhvakh	2008													Questionnaire					
incollection	creissels2012	Creissels, Denis	External agreement in the converbal construction of Northern Akhvakh	2012		De Gruyter Mouton	Berlin/New York	127--156	Clause linkage in cross-linguistic perspective		Gast, Volker and Diessel, Holger								Samira Verhees			
incollection	creissels2013	Creissels, Denis	Floating genitives and possessive framing in Northern Akhvakh	2013		John Benjamins	Amsterdam/Philadelphia	333--354	The Genitive		Carlier, Anne and Verstraete, Jean-Christophe								Chiara Naccarato	20.08.2021		
incollection	creissels2016	Creissels, Denis	Akhvakh	2016		De Gruyter Mouton	Berlin/Boston	3685--3694	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz										NOT IN THE FOLDER	
incollection	creissels2018	Creissels, Denis	Perfective tenses and epistemic modality in Northern Akhvakh	2018		Brill	Leiden	166--187	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur											
misc	creisselsdraft2020	Creissels, Denis	A sketch of Northern Akhvakh	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur											
incollection	daniel2001	Даниэль, Михаил А.	Падеж и локализация 	2001	Case and localization	Наследие	Moscow	203--230	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.								Chiara Naccarato	20.08.2021		
incollection	daniel2001a	Даниэль, Михаил А.	Предикатно-аргументное ядро	2001	Case marking of core arguments	Наследие	Moscow	369--376	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.								Elena Shvedova	15.02.2023		
misc	daniel2006	Daniel, Michael	Reported speech in Archi: a new approach to the old data	2006													Morphosyntaxe des langues du Caucase, 11-14.12.2006, INALCO Paris. Handout		Samira Verhees			
book	danieletal2019		The Mehweb language. Essays on phonology, morphology and syntax	2019		Language Science Press	Berlin				Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry											
incollection	daraganmaisak2001	Дараган, Юлия В. and Майсак, Тимур А.	Частицы, союзы и транскатегориальные показатели	2001	Particles, conjunctions and transcategorical markers	Наследие	Moscow	173--184	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.								Chiara Naccarato	08.02.2021		
book	desheriev1953	Дешериев, Юнус Д.	Бацбийский язык	1953	Tsova-Tush language	Академия	Moscow															
book	desheriev1959	Дешериев, Юнус Д.	Грамматика хиналугского языка	1959	Khinalug grammar	Академия	Moscow															
book	desheriev1963	Дешериев, Юнус Д.	Сравнительно-историческая грамматика нахских языков и проблемы происхождения и исторического развития горских кавказских народов	1963	Historical-comparative grammar of Nakh languages and the origin and historical development of Caucasian mountain peoples	Чечено-Ингушское книжное издательство	Grozny												Samira Verhees			
incollection	desherieva1999	Дешериевa, Tамара И.	Нахские языки	1999	Nakh languages	Российская академия наук	Moscow	166--173	Языки мира. Кавказские языки.	Languages of the World. Caucasian Languages.	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.								Samira Ochs			
book	dirr1906	Дирр, Адольф	Краткий грамматический очерк андийского языка с текстами,сборником андийских слов и русским к нему указателем.	1906	Brief outline of Andi language with a compilation of Andi words and Russian index		Tbilisi												Polina Smyr	11.03.2021		
book	dmitriev1940	Дмитриев, Николай К.	Грамматика кумыкского языка	1940	Kumyk grammar	Академия	Moscow															
incollection	dobrushina2011	Dobrushina, Nina  	The optative domain in East Caucasian languages	2011		Brockmeyer	Bochum 	95--130	Tense, aspect, modality and finiteness in East Caucasian languages		Authier, Gilles and Maisak, Timur										NOT IN THE FOLDER	
incollection	dobrushina2019	Dobrushina, Nina  	Moods of Mehweb	2019		Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								Chiara Naccarato	17.12.2021		
incollection	dobrushinaetal1996	Dobrushina, Nina and Kibrik, Aleksandr and Tatevosov, Sergei	Verbs	1996		Lincom Europa	Munich/Newcastle	44--74	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander								Samira Verhees			
incollection	dobrushinatatevosov1996	Dobrushina, Nina and Tatevosov, Sergei	Usage of verbal forms	1996		Lincom Europa	Munich/Newcastle	91--106	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander											
book	dum-tragut2009	Dum-Tragut, Jasmine	Armenian	2009		John Benjamins	Amsterdam/Philadelphia															
book	dzhidalaev1994	Джидалаев, Нурислам С.	Русско-лакский словарь	1994	Russian-Lak dictionary	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala												Anastasia Panova	30.08.2021	NOT IN THE FOLDER	
misc	dzhidalaevetal2022	Джидалаев, Нурислам С. and Магомедова, Заграт Дж. and Халилов, Маджид Ш.	Словарь хваршинского языка	2022	Khwarshi dictionary	ИЯЛИ	Makhachkala												Chiara Naccarato	17.12.2021	NOT IN THE FOLDER	
phdthesis	eldarova1995	Эльдарова, Роза Г.	Морфология лакского глагола	1995	Morphology of the Lak verb		Makhachkala									ИПЦ ДГУ			Chiara Naccarato	17.12.2021		
incollection	fedorova1996	Fedorova, Olga 	Usage of nominal forms	1996		Lincom Europa	Munich/Newcastle	76--91	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander								Chiara Naccarato	08.02.2021		
book	forker2013	Forker, Diana	A grammar of Hinuq	2013		De Gruyter Mouton	Berlin/Boston															
incollection	forker2014	Forker, Diana	The grammar of knowledge in Hinuq	2014		Oxford University Press	Oxford	52--68	The grammar of knowledge. A cross-linguistic typology		Aikhenvald, Alexandra Y. and Dixon, R.M.W.											
incollection	forker2018avar	Forker, Diana	The semantics of evidentiality and epistemic modality in Avar	2018		Brill	Leiden	188--214	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur								Samira Verhees		NOT IN THE FOLDER	
article	forker2018b	Forker, Diana	Gender agreement is different	2018				865--894					Linguistics	56	4				Chiara Naccarato	18.08.2021		
article	forker2019	Forker, Diana	The impact of language contact on Hinuq: Phonology, morphology, syntax, and lexicon	2019				221--253					Language Typology and Universals	72	2							
article	forker2019b	Forker, Diana	Reported speech constructions in Sanzhi Dargwa and their extension to other areas of grammar	2019				171--199					Sprachwissenschaft	44					Samira Verhees			
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020		Language Science Press	Berlin															
misc	forkerdraft2020	Forker, Diana	Avar grammar sketch	2020		Oxford University Press	Oxford		Oxford Handbook of Languages of the Caucasus		Polinsky, Maria											
article	friedman1984	Friedman, Victor A.	Status in the Lak verbal system	1984				135--149					Folia Slavica	7	1/2				Samira Verhees			
incollection	friedman2007	Friedman, Victor A.	The expression of speaker subjectivity in Lak (Daghestan)	2007		Peeters	Louvain/Paris/Dudley MA	351--376	L'Énonciation médiatisée II		Guentchéva, Zlatka and Landabaru, John											
book	gadzhiakhmedov2000	Гаджиахмедов, Нурмагомед Э.	Словоизменительные категории имени и глагола в кумыкском языке	2000	Nominal and verbal inflectional categories in Kumyk	Юпитер	Makhachkala															
phdthesis	gadzhieva2007	Гаджиева, Марьям З.	Фонетические и морфологические особенности тукитинского диалекта каратинского языка	2007												Дагестанский государственный педагогический университет			Samira Verhees			
misc	gadzhimagomedov2019	Гаджимагомедов, М. З.	Анчихский язык (рукопись)	2019	Anchiq (manuscript)												manuscript		Chiara Naccarato	17.12.2021		author name
incollection	ganenkov2008	Ганенков, Дмитрий С.	Морфологическая и семантическая характеристика падежей удинского языка	2008	Morphological and semantic characteristics of Udi	Академия	Moscow	11--53	Удинский сборник: грамматика, лексика, история языка	Udi. Grammar. Lexicon. History of the language	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.											
misc	ganenkovetal2009	Ганенков, Дмитрий С. and Майсак, Тимур А. and Мерданова, Солмаз Р.	Дискурсивная анафора в агульском языке	2009	Discourse anaphora in Agul	Институт языкознания РАН	Moscow		НеФестшрифт: Статьи в подарок (к юбилею А.Е. Кибрика)	Non-Festschrift: Papers dedicated to A.E. Kibrik for his anniversary								http://otipl.philol.msu.ru/~kibrik/content/pdf/Ganenkov_etal.pdf	Timofey Mukhin			editor, page number
book	ganieva2002	Ганиева, Фаида А.	Хиналугско-русский словарь	2002	Khinalug-Russian dictionary	ДНЦ РАН	Makhachkala												Anastasia Panova	30.08.2021		
book	gasanova1971	Гасанова, Саида М.	Очерки даргинской диалектологии	1971	Essays on Dargwa dialectology	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala												Anastasia Panova	30.08.2021		
book	gaydarovetal2009	Гайдаров, Раджидин. И. and Гюльмагомедов, Ахмедуллах Г. and Мейланова, Унеизат А. and Талибов, Букар Б.	Современный лезгинский язык	2009	Modern Lezgian	Дагестанский научный центр Российской академии наук Институт языка, литературы и искусства им. Гамзата Цадасы	Makhachkala												George Moroz	06.08.2021		
book	gimbatov2006	Гимбатов, М. М.	Аварско-русский словарь (рукопись)	2006	Avar-Russian dictionary (manuscript)	ДНЦ РАН	Makhachkala											http://avar.me/	Anastasia Panova		the file is a preprint version, probably with "wrong" pages (the dictionary has never appeared as a book, as for Feb. 2024)	author name; comment and link added by Timur Maisak 
book	griunberg1963	Грюнберг, Александр Л.	Язык североазербайджанских татов	1963	The language of the Northern Azerbaijani Tats	Издательство академии наук СССР	Leningrad												Aigul Zakirova	21.09.21		
book	gudava1962	Gudava, Togo E.	Botlixuri ena	1962	The Botlikh language	Mecniereba	Tbilisi															
incollection	gudava1967	Гудава, Того Е.	Ботлихский язык	1967	Botlikh	Наука	Moscow 	293--306	Языки народов СССР. Том 4. Иберийско-кавказские языки	Languages of the peoples of USSR. Volume 4. Ibero-caucasian languages	Бокарев, Евгений А. and Ломатидзе, К.								Chiara Naccarato	05.02.2021		
book	gukasyan1974	Гукасян, Ворошил	Удинско-азербайджанско-русский словарь	1974	Udi-Azerbaijani-Russian dictionary	Элм	Baku												George Moroz	29.04.2021		
book	harris2002	Harris, Alice C.	Endoclitics and the origins of Udi morphosyntax	2002		Oxford University Press	Oxford												Chiara Naccarato	19.08.2021		
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993		Mouton de Gruyter	Berlin/New York															
incollection	haspelmath1996	Haspelmath, Martin	Complement clauses	1996		Lincom Europa	Munich/Newcastle	174--196	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander											
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995		School of Oriental and African Studies, University of London	London						London Oriental and African Language Library	2		University of London			Polina Smyr	30.08.2021		
book	hewitt2005	Hewitt, George	Georgian. A Learner's Grammar	2005		Routledge	London/New York												Chiara Naccarato			
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek								Samira Verhees	28.01.2021		
book	ibragimov1978	Ибрагимов, Гарун Х.	Рутульский язык	1978	Rutul	Академия Наук СССР	Moscow												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER	
book	ibragimov1990	Ибрагимов, Гарун Х.	Цахурский язык	1990	Tsakhur language	Наука	Moscow												George Moroz	28.04.2021		
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Makhachkala															
book	ibragimovnurmamedov2010	Ибрагимов, Гарун Х. and Нурмамедов, Юнус М.	Цахурско-русский словарь	2010	Tsakhur-Russian dictionary	Дагестанский Государственный Педагогический Университет	Makhachkala												Samira Verhees	31.01.2021		
book	isaev2001	Исаев, Мамогед-Шапи А. 	Русско-даргинский словарь	2001	Russian-Dargwa dictionary	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala												Anastasia Panova	30.08.2021	the file is a preprint version, probably with "wrong" pages	comment added by Timur Maisak
book	isakovxalilov2001	Исаков, Исак А. and Халилов, Маджид Ш.	Гунзибско-русский словарь	2001	Hunzib-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala												Chiara Naccarato	31.01.2021		
book	isakovxalilov2012	Исаков, Исак А. and Халилов, Маджид Ш.	Гунзибский язык (Фонетика. Морфология. Словообразование. Лексика. Тексты)	2012	Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala												Anastasia Panova	30.08.2021	NOT IN THE FOLDER	
book	ismailova2011	Исмаилова, Эминат И.	Русско-рутульский словарь	2011	Russian-Rutul dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala												Chiara Naccarato	31.01.2021		
book	jakovlev1940	Яковлев, Николай Ф.	Синтаксис чеченского литературного языка	1940	Syntax of Standard Chechen	Издательство Академии Наук СССР	Moscow/Leningrad												Polina Nasledskova	05.05.2022		
book	jakovlev1960	Яковлев, Николай Ф.	Морфология чеченского языка	1960	Chechen morphology	Издательство Академии наук СССР	Grozny															
incollection	johanson2018	Johanson, Lars	Turkic indirectivity	2018		Oxford University Press	Oxford	510--524	The Oxford Handbook of Evidentiality		Aikhenvald, Alexandra Y.											
incollection	kalinina1999	Калинина, Елена Ю.	Предложения с именным сказуемым	1999	Clause with a nominal subject	Наследие	Moscow	420--448	Элементы цахурского языка в типологическом освещении	Elements of Tsakhur grammar in a typological perspective	Кибрик, Александр Е.								Chiara Naccarato	05.11.2021		
book	kalmykovasarueva1973	Калмыкова, Софья А. and Саруева, Мария Ф.	Грамматика ногайского языка	1973	Nogai grammar	Ставропольское книжное издательство	Cherkessk												Samira Verhees	28.01.2021		
book	kankava2001	Канкава, Михаил В.	Грузинско-русский словарь	2001	Georgian-Russian dictionary	Сакартвелос мацие	Tbilisi												Polina Smyr	30.08.2021		
book	karasaevmaciev1978	Карасаев, Айсаш Т. and Мациев, Ахмет Г.	Русско-чеченский словарь	1978	Russian-Chechen dictionary	Русский язык	Moscow												Chiara Naccarato	05.02.2021		
misc	kasplingua	NA	KaspLingua	2016													Accessed: 2021-12-17	https://kasplingua.ru/speaks/%d1%80%d0%b0%d0%b7%d0%b3%d0%be%d0%b2%d0%be%d1%80%d0%bd%d1%8b%d0%b5-%d1%84%d1%80%d0%b0%d0%b7%d1%8b-%d0%bd%d0%b0-%d0%bb%d0%b0%d0%ba%d1%81%d0%ba%d0%be%d0%bc-%d1%8f%d0%b7%d1%8b%d0%ba%d0%b5/	Chiara Naccarato	17.12.2021		author?
misc	kayeetaldraft2020	Kaye, Stephen and Martynova, Aleksandra and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	A sketch of Andi (Zilo dialect)	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur								Samira Verhees			
book	kazenin2013	Казенин, Константин И.	Синтаксис современного лакского языка	2013	Syntax of contemporary Lak	ИЯЛИ	Makhachkala															
book	kerimov1985	Керимов, Керим Р.	Глагол хиналугского языка	1985	Verbs of Khinalug	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala															
